query_id,complexity,preferred_authorities,action,answer_correct,confidence,selected_evidence_id,corrective_retrieval,conflict_count
sp500_max_month,multi_step,market_data_api;official_web;web_search,answer,True,0.902787,doc-9b017b3a9176701c20e3,False,2
sp500_hike_drawdown,multi_step,market_data_api;official_web;web_search,answer,True,0.801581,doc-0c20cd7b13cc0f9b884a,False,3
nasdaq_vs_sp500_2024,single_step,market_data_api;official_web;web_search,answer,True,0.904054,doc-c7ff6a2bebc168601a6c,False,4
apple_2024_sales,single_step,regulator_filing;company_filing_archive;company_release;official_web;web_search,answer,True,0.82744,doc-94a2ff18c57f5d846f16,False,3
us_cpi_dec_2024,multi_step,official_statistics;central_bank;official_web;web_search,answer,True,0.803271,doc-7a615f4b9e1eab9045ad,False,10
fomc_sep_2024_cut,single_step,official_statistics;central_bank;official_web;web_search,answer,True,0.792461,doc-27492fc3b708aace531c,False,10
china_current_account_2024,multi_step,official_statistics;central_bank;official_web;web_search,answer,True,0.842082,doc-8916113c20711525cd14,False,13
nvidia_2022_dta,single_step,regulator_filing;company_filing_archive;company_release;official_web;web_search,answer,True,0.875213,doc-a764f24e721b63afd60f,False,3
nvidia_2024_split,multi_step,regulator_filing;company_filing_archive;company_release;official_web;web_search,answer,True,0.744276,doc-8bbd759d369bacdec9e0,False,10
tesla_2024_rd,single_step,regulator_filing;company_filing_archive;company_release;official_web;web_search,answer,True,0.813774,doc-e405cdc6199675f1982b,False,4
sp500_return_2024,multi_step,market_data_api;official_web;web_search,answer,True,0.876717,doc-3feb97185847b7824232,False,4
mmm_2018_capex,single_step,regulator_filing;company_filing_archive;company_release;official_web;web_search,abstain,False,0.442774,,True,20
mmm_2018_net_ppe,single_step,regulator_filing;company_filing_archive;company_release;official_web;web_search,answer,True,0.740686,doc-78926951fbcef7ca66ee,False,4
adobe_2015_ocf_ratio,multi_step,regulator_filing;company_filing_archive;company_release;official_web;web_search,answer,True,0.892352,doc-5a395fcbf5c373a7689a,False,3
adobe_2016_operating_income_growth,multi_step,regulator_filing;company_filing_archive;company_release;official_web;web_search,answer,True,0.855498,doc-bf45d8336eefc38297dd,False,7
adobe_2017_ocf_ratio,multi_step,regulator_filing;company_filing_archive;company_release;official_web;web_search,answer,True,0.717117,doc-fa0475dad5fe280af625,False,1
adobe_2022_operating_margin,single_step,regulator_filing;company_filing_archive;company_release;official_web;web_search,answer,True,0.890451,doc-1ed850320c1ed3c0bc3b,False,1
aes_2022_inventory_turnover,multi_step,regulator_filing;company_filing_archive;company_release;official_web;web_search,answer,True,0.838126,doc-1b63d9d9be41aed07ef6,False,3
activision_2019_fixed_asset_turnover,multi_step,regulator_filing;company_filing_archive;company_release;official_web;web_search,answer,True,0.852041,doc-4f4fb842ad979465d9c5,False,3
activision_capex_revenue_avg,multi_step,regulator_filing;company_filing_archive;company_release;official_web;web_search,answer,True,0.880522,doc-c37c714b244c1b76459f,False,3
