case_id,question_zh,strategy,model_action,final_action,answer_value,unit,gold_answer,canonical_unit,model_draft_correct,final_decision_correct,filter_triggered,evidence_count,accepted_evidence_count,web_search_calls,source_count,citation_count,latency_seconds,input_tokens,output_tokens
sp500_max_month,2010年1月至2025年4月，标普500指数最大的单月涨幅是多少？,plain_agent,answer,answer,12.7,percent,12.68,percent,1,1,0,5,5,2,19,7,40.71,5299,2900
sp500_max_month,2010年1月至2025年4月，标普500指数最大的单月涨幅是多少？,temporal_prompt,answer,answer,12.7,percent,12.68,percent,1,1,0,3,3,2,19,4,25.633,4503,2100
sp500_max_month,2010年1月至2025年4月，标普500指数最大的单月涨幅是多少？,metadata_filter,answer,abstain,12.7,percent,12.68,percent,1,0,1,2,0,2,19,6,33.107,5461,2421
sp500_max_month,2010年1月至2025年4月，标普500指数最大的单月涨幅是多少？,teg_validator,abstain,abstain,,,12.68,percent,0,0,0,4,0,3,18,5,40.836,5178,2673
sp500_max_month,2010年1月至2025年4月，标普500指数最大的单月涨幅是多少？,atlas_rag,answer,answer,12.7,percent,12.68,percent,1,1,0,3,2,3,26,5,53.048,6281,3738
sp500_hike_drawdown,2022年3月16日美联储首次加息后的三个月内，标普500最大回撤是多少？,plain_agent,abstain,abstain,,,20.83,percent,0,0,0,3,3,3,22,6,41.17,5393,2922
sp500_hike_drawdown,2022年3月16日美联储首次加息后的三个月内，标普500最大回撤是多少？,temporal_prompt,abstain,abstain,,,20.83,percent,0,0,0,3,3,3,18,5,50.697,4961,3468
sp500_hike_drawdown,2022年3月16日美联储首次加息后的三个月内，标普500最大回撤是多少？,metadata_filter,abstain,abstain,,percent,20.83,percent,0,0,0,3,2,3,24,6,43.429,5831,2989
sp500_hike_drawdown,2022年3月16日美联储首次加息后的三个月内，标普500最大回撤是多少？,teg_validator,answer,answer,20.8,percent,20.83,percent,1,1,0,2,1,3,26,5,47.799,5828,3252
sp500_hike_drawdown,2022年3月16日美联储首次加息后的三个月内，标普500最大回撤是多少？,atlas_rag,abstain,abstain,,,20.83,percent,0,0,0,1,0,3,21,3,49.784,5566,3532
nasdaq_vs_sp500_2024,2024全年纳斯达克综合指数涨幅比标普500高多少个百分点？,plain_agent,answer,answer,5.33,percentage_point,5.33,percentage_point,1,1,0,3,3,2,14,4,34.83,4843,2132
nasdaq_vs_sp500_2024,2024全年纳斯达克综合指数涨幅比标普500高多少个百分点？,temporal_prompt,answer,answer,5.33,percentage_point,5.33,percentage_point,1,1,0,2,2,2,15,5,29.086,5146,1887
nasdaq_vs_sp500_2024,2024全年纳斯达克综合指数涨幅比标普500高多少个百分点？,metadata_filter,answer,abstain,5.33,percentage_point,5.33,percentage_point,1,0,1,2,0,2,15,6,29.201,5277,2091
nasdaq_vs_sp500_2024,2024全年纳斯达克综合指数涨幅比标普500高多少个百分点？,teg_validator,answer,abstain,5.33,percentage_point,5.33,percentage_point,1,0,1,3,0,2,15,3,33.275,5047,2651
nasdaq_vs_sp500_2024,2024全年纳斯达克综合指数涨幅比标普500高多少个百分点？,atlas_rag,answer,abstain,4.69,percentage_point,5.33,percentage_point,0,0,1,3,0,3,24,5,36.03,5929,2937
apple_2024_sales,Apple 2024财年的净销售额是多少？,plain_agent,answer,answer,391035,USD_million,391035,USD_million,1,1,0,2,2,1,9,5,21.181,3720,1334
apple_2024_sales,Apple 2024财年的净销售额是多少？,temporal_prompt,answer,answer,391035,USD_million,391035,USD_million,1,1,0,2,2,1,9,3,20.536,3483,1425
apple_2024_sales,Apple 2024财年的净销售额是多少？,metadata_filter,answer,abstain,391035,USD_million,391035,USD_million,1,0,1,2,0,1,9,3,25.104,3844,1876
apple_2024_sales,Apple 2024财年的净销售额是多少？,teg_validator,answer,abstain,391035,USD_million,391035,USD_million,1,0,1,2,0,2,12,3,26.365,4400,1850
apple_2024_sales,Apple 2024财年的净销售额是多少？,atlas_rag,answer,answer,391035,USD_million,391035,USD_million,1,1,0,3,1,1,9,3,22.672,4228,1929
us_cpi_dec_2024,截至2024年12月的12个月，美国CPI-U同比上涨多少？,plain_agent,answer,answer,2.9,percent,2.9,percent,1,1,0,1,1,1,7,7,20.219,3537,1249
us_cpi_dec_2024,截至2024年12月的12个月，美国CPI-U同比上涨多少？,temporal_prompt,answer,answer,2.9,percent,2.9,percent,1,1,0,2,2,1,7,7,21.533,3441,1224
us_cpi_dec_2024,截至2024年12月的12个月，美国CPI-U同比上涨多少？,metadata_filter,answer,answer,2.9,percent,2.9,percent,1,1,0,1,1,1,7,4,19.781,3256,1136
us_cpi_dec_2024,截至2024年12月的12个月，美国CPI-U同比上涨多少？,teg_validator,answer,answer,2.9,percent,2.9,percent,1,1,0,2,1,1,7,5,23.015,3732,1496
