case_id,question_zh,strategy,model_action,final_action,answer_value,unit,gold_answer,canonical_unit,model_draft_correct,final_decision_correct,filter_triggered,evidence_count,accepted_evidence_count,web_search_calls,source_count,citation_count,latency_seconds,input_tokens,output_tokens
sp500_max_month,2010年1月至2025年4月，标普500指数最大的单月涨幅是多少？,plain_agent,abstain,abstain,,,12.68,percent,0,0,0,1,1,1,10,1,9.822,4747,318
sp500_max_month,2010年1月至2025年4月，标普500指数最大的单月涨幅是多少？,temporal_prompt,abstain,abstain,,,12.68,percent,0,0,0,1,1,1,10,1,9.99,4776,304
sp500_max_month,2010年1月至2025年4月，标普500指数最大的单月涨幅是多少？,metadata_filter,abstain,abstain,,,12.68,percent,0,0,0,2,0,1,10,1,9.644,4976,559
sp500_max_month,2010年1月至2025年4月，标普500指数最大的单月涨幅是多少？,teg_validator,abstain,abstain,,,12.68,percent,0,0,0,1,0,1,10,1,7.932,4987,314
sp500_hike_drawdown,2022年3月16日美联储首次加息后的三个月内，标普500最大回撤是多少？,plain_agent,abstain,abstain,,,20.83,percent,0,0,0,1,1,1,10,1,8.112,4796,294
sp500_hike_drawdown,2022年3月16日美联储首次加息后的三个月内，标普500最大回撤是多少？,temporal_prompt,abstain,abstain,,,20.83,percent,0,0,0,2,2,1,10,1,7.523,4818,428
sp500_hike_drawdown,2022年3月16日美联储首次加息后的三个月内，标普500最大回撤是多少？,metadata_filter,abstain,abstain,,,20.83,percent,0,0,0,1,0,1,10,1,8.488,4984,319
sp500_hike_drawdown,2022年3月16日美联储首次加息后的三个月内，标普500最大回撤是多少？,teg_validator,abstain,abstain,,,20.83,percent,0,0,0,0,0,1,10,1,15.397,5111,198
nasdaq_vs_sp500_2024,2024全年纳斯达克综合指数涨幅比标普500高多少个百分点？,plain_agent,abstain,abstain,,,5.33,percentage_point,0,0,0,1,1,1,10,1,7.503,5477,392
nasdaq_vs_sp500_2024,2024全年纳斯达克综合指数涨幅比标普500高多少个百分点？,temporal_prompt,abstain,abstain,,,5.33,percentage_point,0,0,0,1,1,1,10,10,8.279,3078,924
nasdaq_vs_sp500_2024,2024全年纳斯达克综合指数涨幅比标普500高多少个百分点？,metadata_filter,abstain,abstain,,,5.33,percentage_point,0,0,0,1,0,1,10,1,8.775,5516,369
nasdaq_vs_sp500_2024,2024全年纳斯达克综合指数涨幅比标普500高多少个百分点？,teg_validator,abstain,abstain,,,5.33,percentage_point,0,0,0,1,0,1,10,1,7.28,5739,398
apple_2024_sales,Apple 2024财年的净销售额是多少？,plain_agent,answer,answer,391035,USD_million,391035,USD_million,1,1,0,2,2,1,10,6,8.971,4696,585
apple_2024_sales,Apple 2024财年的净销售额是多少？,temporal_prompt,abstain,abstain,,,391035,USD_million,0,0,0,2,2,1,10,3,10.06,4545,652
apple_2024_sales,Apple 2024财年的净销售额是多少？,metadata_filter,abstain,abstain,,,391035,USD_million,0,0,0,2,0,1,10,2,9.774,4563,618
apple_2024_sales,Apple 2024财年的净销售额是多少？,teg_validator,abstain,abstain,,,391035,USD_million,0,0,0,2,0,1,10,5,12.092,5013,758
us_cpi_dec_2024,截至2024年12月的12个月，美国CPI-U同比上涨多少？,plain_agent,answer,answer,2.9,percent,2.9,percent,1,1,0,1,1,1,10,4,8.501,4625,475
us_cpi_dec_2024,截至2024年12月的12个月，美国CPI-U同比上涨多少？,temporal_prompt,answer,answer,2.9,percent,2.9,percent,1,1,0,1,1,1,10,4,8.621,4643,479
us_cpi_dec_2024,截至2024年12月的12个月，美国CPI-U同比上涨多少？,metadata_filter,answer,answer,2.9,percent,2.9,percent,1,1,0,1,1,1,10,1,8.067,4550,439
us_cpi_dec_2024,截至2024年12月的12个月，美国CPI-U同比上涨多少？,teg_validator,answer,answer,2.9,percent,2.9,percent,1,1,0,1,1,1,10,2,9.499,4760,542
fomc_sep_2024_cut,2024年9月18日FOMC将联邦基金利率目标区间下调了多少个基点？,plain_agent,answer,answer,50,basis_point,50,basis_point,1,1,0,1,1,1,10,2,8.626,5100,590
fomc_sep_2024_cut,2024年9月18日FOMC将联邦基金利率目标区间下调了多少个基点？,temporal_prompt,answer,answer,50,basis_point,50,basis_point,1,1,0,1,1,1,10,2,8.069,5020,562
fomc_sep_2024_cut,2024年9月18日FOMC将联邦基金利率目标区间下调了多少个基点？,metadata_filter,answer,answer,50,basis_point,50,basis_point,1,1,0,1,1,1,10,1,8.812,4887,525
fomc_sep_2024_cut,2024年9月18日FOMC将联邦基金利率目标区间下调了多少个基点？,teg_validator,answer,answer,50,basis_point,50,basis_point,1,1,0,1,1,1,10,2,9.501,5250,499
china_current_account_2024,中国2024年国际收支初步数中的经常账户顺差是多少亿美元？,plain_agent,abstain,abstain,,,4220,USD_100million,0,0,0,2,2,1,10,1,8.367,4395,398
china_current_account_2024,中国2024年国际收支初步数中的经常账户顺差是多少亿美元？,temporal_prompt,abstain,abstain,,,4220,USD_100million,0,0,0,0,0,1,10,1,7.408,4425,166
china_current_account_2024,中国2024年国际收支初步数中的经常账户顺差是多少亿美元？,metadata_filter,abstain,abstain,,,4220,USD_100million,0,0,0,1,0,1,10,1,7.416,4500,311
china_current_account_2024,中国2024年国际收支初步数中的经常账户顺差是多少亿美元？,teg_validator,abstain,abstain,,,4220,USD_100million,0,0,0,0,0,1,10,1,8.124,4656,177
nvidia_2022_dta,NVIDIA 2022财年的递延所得税资产总额是多少？,plain_agent,abstain,abstain,,,1408,USD_million,0,0,0,1,1,1,10,1,7.216,4380,325
nvidia_2022_dta,NVIDIA 2022财年的递延所得税资产总额是多少？,temporal_prompt,abstain,abstain,,,1408,USD_million,0,0,0,1,1,1,10,1,8.092,4398,307
nvidia_2022_dta,NVIDIA 2022财年的递延所得税资产总额是多少？,metadata_filter,abstain,abstain,,,1408,USD_million,0,0,0,0,0,1,10,1,7.037,4482,179
nvidia_2022_dta,NVIDIA 2022财年的递延所得税资产总额是多少？,teg_validator,abstain,abstain,,,1408,USD_million,0,0,0,1,0,1,10,1,7.984,4616,313
nvidia_2024_split,NVIDIA 2024年实施的股票拆分比例是多少？,plain_agent,answer,answer,10,shares_per_share,10,shares_per_share,1,1,0,2,2,1,10,7,9.857,5281,617
nvidia_2024_split,NVIDIA 2024年实施的股票拆分比例是多少？,temporal_prompt,answer,answer,10,shares_per_share,10,shares_per_share,1,1,0,2,2,1,10,7,10.419,5306,687
nvidia_2024_split,NVIDIA 2024年实施的股票拆分比例是多少？,metadata_filter,answer,answer,10,shares_per_share,10,shares_per_share,1,1,0,1,1,1,10,7,9.266,5399,560
nvidia_2024_split,NVIDIA 2024年实施的股票拆分比例是多少？,teg_validator,abstain,abstain,,,10,shares_per_share,0,0,0,2,0,1,10,8,13.414,5901,808
tesla_2024_rd,Tesla 2024年的研发费用是多少？,plain_agent,answer,answer,4540,USD_million,4540,USD_million,1,1,0,1,1,1,10,3,7.959,4557,459
tesla_2024_rd,Tesla 2024年的研发费用是多少？,temporal_prompt,abstain,abstain,,,4540,USD_million,0,0,0,2,2,1,10,1,8.136,4365,533
tesla_2024_rd,Tesla 2024年的研发费用是多少？,metadata_filter,abstain,abstain,,,4540,USD_million,0,0,0,2,0,1,10,2,10.1,4603,658
tesla_2024_rd,Tesla 2024年的研发费用是多少？,teg_validator,abstain,abstain,,,4540,USD_million,0,0,0,2,0,1,10,1,8.532,4504,420
sp500_return_2024,按年末收盘价计算，标普500指数2024年的价格回报率是多少？,plain_agent,answer,answer,25.02,percent,23.31,percent,0,0,0,1,1,1,10,2,9.324,5049,568
sp500_return_2024,按年末收盘价计算，标普500指数2024年的价格回报率是多少？,temporal_prompt,abstain,abstain,,,23.31,percent,0,0,0,1,1,1,10,1,9.461,4908,564
